supermarket,unit_price,unit,names,date,category,own_brand,ASDA_price,Morrisons_price,Tesco_price
Sains,5.7333333333333325,kg,Heinz Tomato Ketchup,20240129,food_cupboard,False,4.6,5.4,3.9
Sains,10.0,l,Blue Dragon Fish Sauce,20240129,food_cupboard,False,11.7,11.7,11.7
Sains,13.0,l,Filippo Berio Mild & Light Olive Oil,20240129,food_cupboard,False,17.0,17.2,17.1
Sains,3.0,kg,Heinz Spring Vegetable Soup,20240129,food_cupboard,False,4.2,4.2,4.2
Sains,15.0,kg,Knorr Beef Stock Cubes,20240129,food_cupboard,False,23.8,15.0,23.8
Sains,5.3,kg,Maggi Authentic Indian Tamarind Sauce,20240129,food_cupboard,False,4.1,4.1,5.3
Sains,3.0,kg,Heinz Broccoli & Stilton Soup,20240129,food_cupboard,False,4.2,4.2,4.2
Sains,2.1,l,Relentless Origin Energy Drink,20240129,fresh_food,False,2.05,2.8,2.25
Sains,7.1,kg,Swizzels Luscious Lollies,20240129,food_cupboard,False,7.7,6.5,5.7
Sains,14.7,kg,Bisto Onion Gravy Granules,20240129,food_cupboard,False,10.5,14.7,16.3
Sains,7.4,kg,Ginsters Chicken Tikka Slice,20240129,fresh_food,False,11.5,7.3,11.5
Sains,13.46,kg,Pukka Vegan Sausage Roll,20240129,fresh_food,False,9.6,13.5,13.5
Sains,5.0,kg,Dolmio Bolognese Chunky Mushroom Pasta Sauce,20240129,food_cupboard,False,3.5,5.0,5.0
Sains,10.0,kg,Betty Crocker Chocolate Chip Cookie Mix,20240129,food_cupboard,False,10.0,9.9,10.0
Sains,5.8,kg,Blue Dragon Hoisin & Garlic Stir Fry Sauce,20240129,food_cupboard,False,7.9,7.9,7.9
Sains,2.2,l,Schweppes Tonic Water,20240129,drinks,False,1.7,1.3,2.45
Sains,4.3,kg,Heinz Oxtail Soup,20240129,food_cupboard,False,4.2,4.2,4.2
Sains,1.88,kg,Heinz Spaghetti Hoops in Tomato Sauce,20240129,food_cupboard,False,4.39,4.39,3.35
Sains,3.5,l,Lee Kum Kee Premium Light Soy Sauce,20240129,food_cupboard,False,9.3,9.9,7.3
Sains,7.0,kg,Bonne Maman Strawberry Conserve,20240129,food_cupboard,False,9.2,20.0,9.6
Sains,7.4,kg,Ginsters Chicken & Mushroom Slice,20240129,fresh_food,False,11.5,7.3,11.5
