supermarket,unit_price,unit,names,date,category,own_brand,ASDA_price,Morrisons_price,Sains_price
Tesco,8.85,kg,Sharwood's Medium Egg Noodles,20240129,food_cupboard,False,8.81,8.85,5.53
Tesco,9.6,kg,Bonne Maman Apricot Conserve,20240129,food_cupboard,False,9.2,8.9,7.0
Tesco,215.0,l,Durex Play Silicone Based Perfect Glide Lubricant Gel,20240129,health_products,False,215.0,210.0,160.0
Tesco,6.2,kg,Arla Protein Strawberry Yogurt,20240129,fresh_food,False,5.5,7.2,5.5
Tesco,11.0,kg,Colman's Seafood Sauce,20240129,food_cupboard,False,7.7,11.0,11.0
Tesco,4.0,kg,Clover Spread,20240129,fresh_food,False,4.8,3.5,3.95
Tesco,3.128571428571429,l,Coca-Cola Original Taste,20240129,fresh_food,False,1.6,2.5,3.2375000000000003
Tesco,31.2,kg,Kenco Smooth Instant Coffee,20240129,drinks,False,30.0,30.0,35.0
Tesco,7.9,kg,Blue Dragon Sweet Chilli & Garlic Stir Fry Sauce,20240129,food_cupboard,False,7.9,7.9,5.8
Tesco,17.1,l,Filippo Berio Mild & Light Olive Oil,20240129,food_cupboard,False,17.0,17.2,13.0
Tesco,116.7,l,Nizoral Anti-Dandruff Shampoo,20240129,health_products,False,116.7,108.3,119.2
Tesco,31.2,kg,Cherry Blossom Shoe Polish Black,20240129,household,False,43.75,50.0,2.5
Tesco,0.7,l,Buxton Still Natural Mineral Water,20240129,drinks,False,1.4,0.6,0.5
Tesco,2.35,l,Fruit Shoot Summer Fruits Kids Juice Drink,20240129,drinks,False,1.6,1.9,2.1
Tesco,16.3,kg,Bisto Vegetable Gravy Granules,20240129,food_cupboard,False,14.7,14.7,14.7
Tesco,12.0,l,Kikkoman Tamari Gluten Free Soy Sauce,20240129,food_cupboard,False,11.0,9.0,8.0
Tesco,3.0,kg,Cofresh Gujarati Mix,20240129,food_cupboard,False,4.6,4.7,3.1
Tesco,8.8,l,Johnson's Soothing Vapour Bath,20240129,baby_products,False,8.8,5.7,5.8
Tesco,31.2,kg,Kenco Rich Instant Coffee,20240129,drinks,False,30.0,30.0,32.5
Tesco,16.3,kg,Bisto Onion Gravy Granules,20240129,food_cupboard,False,10.5,14.7,14.7
Tesco,9.6,kg,Bonne Maman Peach Conserve,20240129,food_cupboard,False,9.2,8.9,7.0
Tesco,10.3,kg,Pukka Steak Slice,20240129,fresh_food,False,10.3,10.3,10.3
Tesco,4.05,l,Bundaberg Ginger Beer,20240129,food_cupboard,False,3.2,4.1,4.3
Tesco,14.7,l,Yutaka Japanese Rice Vinegar,20240129,food_cupboard,False,14.0,12.4,14.3
Tesco,3.2,kg,Onken Natural Set Yogurt,20240129,fresh_food,False,2.5,2.8,4.3
Tesco,11.7,l,Haagen-Dazs Strawberry Cheesecake Ice Cream,20240129,food_cupboard,False,11.6,8.1,11.6
