supermarket,product,unit_price,year,month,day,weekday,total_sale
ASDA,Heinz Seriously Good Light Mayonnaise,4.2,2024,1,28,6,1
ASDA,Heinz Tomato Ketchup,4.4,2024,1,28,6,1
ASDA,Haagen-Dazs Vanilla Ice Cream,8.1,2024,1,28,6,1
ASDA,Pukka Vegan Sausage Roll,9.6,2024,1,28,6,1
ASDA,Coca-Cola Original Taste,2.3,2024,1,28,6,1
ASDA,Bonne Maman Apricot Conserve,9.2,2024,1,28,6,1
ASDA,Pip & Nut Crunchy Peanut Butter,7.0,2024,1,28,6,1
ASDA,Bisto Vegetable Gravy Granules,14.7,2024,1,28,6,1
ASDA,Schar Gluten Free Jaffa Cakes,9.3,2024,1,28,6,1
ASDA,Benylin Dry & Tickly Cough Syrup,33.0,2024,1,28,6,2
ASDA,Heinz Seriously Good Mayonnaise,4.300000000000002,2024,1,28,6,2
ASDA,Ocean Spray Cranberry Classic Juice Drink,1.8,2024,1,28,6,1
ASDA,Ben & Jerry's Caramel Chew Chew Ice Cream Tub,11.1,2024,1,28,6,1
ASDA,Haagen-Dazs Salted Caramel Ice Cream,8.1,2024,1,28,6,1
ASDA,Ginsters Peppered Steak Slice,11.5,2024,1,28,6,1
ASDA,Paxo Sage & Onion Stuffing Mix,15.88,2024,1,28,6,1
ASDA,Dairylea Cheese Spread,10.93,2024,1,28,6,1
ASDA,Pukka Minced Beef & Onion Pie,7.0,2024,1,28,6,1
ASDA,Bakers Meaty Meals Adult Dry Dog Food Chicken,2.87,2024,1,28,6,1
ASDA,Yakult Original,7.1,2024,1,28,6,1
ASDA,Quorn Vegan Chicken Free Slices,21.9,2024,1,28,6,1
ASDA,Pukka Pepperoni Pizza Slice,10.3,2024,1,28,6,1
ASDA,Dr Pepper Zero,3.4,2024,1,28,6,1
ASDA,Sharwood's Medium Egg Noodles,8.81,2024,1,28,6,1
ASDA,Betty Crocker Chocolate Fudge Icing,7.5,2024,1,28,6,1
ASDA,Ginsters Chicken & Mushroom Slice,11.5,2024,1,28,6,1
ASDA,Covonia Dry & Tickly Cough Linctus,23.3,2024,1,28,6,1
ASDA,Bulldog Sensitive Moisturiser,44.0,2024,1,28,6,1
ASDA,Robinsons Crushed Lime & Mint Fruit Cordial,6.0,2024,1,28,6,1
ASDA,Yakult Balance,7.1,2024,1,28,6,1
ASDA,Betty Crocker Velvety Vanilla Cake Mix,7.1,2024,1,28,6,1
ASDA,Relentless Origin Energy Drink,2.05,2024,1,28,6,2
ASDA,Monster Energy Drink,2.4,2024,1,28,6,1
ASDA,Lee Kum Kee Premium Dark Soy Sauce,9.3,2024,1,28,6,1
ASDA,Goodfella's Gluten Free Margherita Pizza,12.2,2024,1,28,6,1
ASDA,Yeo Valley Organic Salted Butter,11.0,2024,1,28,6,1
ASDA,Bonne Maman Black Cherry Conserve,9.7,2024,1,28,6,1
ASDA,Felix Goody Bag Cat Treats Mixed Grill,20.0,2024,1,28,6,1
ASDA,Clover Spread,3.0,2024,1,28,6,1
ASDA,Tango Orange Original Bottle,3.1,2024,1,28,6,1
ASDA,Robinsons Pressed Pear & Elderflower Fruit Cordial,6.0,2024,1,28,6,1
ASDA,Quaker Oat So Simple Golden Syrup Porridge Pot,22.6,2024,1,28,6,1
ASDA,Nizoral Anti-Dandruff Shampoo,116.7,2024,1,28,6,1
